"Date","Redraft PPR ADP","Redraft SF ADP","Redraft Half PPR ADP","Dynasty PPR ADP","Dynasty SF ADP","Dynasty Half PPR ADP","IDP ADP","Player Team","Player First Name","Player Last Name","Fantasy Player Position","Player Id","Positional Rank","","","","","","","","","","","",""
"August 4, 2025","1.1","3.5","1.4","1","4.1","1.4","1.4","CIN","Ja'Marr","Chase","WR","7564","WR1","","","","","","","","","","","",""
"August 4, 2025","2.4","10.1","2.7","8.3","17.5","9","8.5","PHI","Saquon","Barkley","RB","4866","RB1","","","","","","","","","","","",""
"August 4, 2025","3.4","5.2","3.2","3.7","8.2","3.1","5.3","ATL","Bijan","Robinson","RB","9509","RB2","","","","","","","","","","","",""
"August 4, 2025","4.4","5.2","4.4","2.9","5.8","2","5.9","MIN","Justin","Jefferson","WR","6794","WR2","","","","","","","","","","","",""
"August 4, 2025","5.6","8.6","5.6","4.8","10.8","4.2","7","DET","Jahmyr","Gibbs","RB","9221","RB3","","","","","","","","","","","",""
"August 4, 2025","5.9","11.6","5.5","6","11.9","5.2","9","DAL","CeeDee","Lamb","WR","6786","WR3","","","","","","","","","","","",""
"August 4, 2025","7.6","15","8","10.1","15.6","10.4","15.1","DET","Amon-Ra","St. Brown","WR","7547","WR4","","","","","","","","","","","",""
"August 4, 2025","8","16.6","7.4","11.6","17.5","11.6","16.8","LAR","Puka","Nacua","WR","9493","WR5","","","","","","","","","","","",""
"August 4, 2025","9.1","14.6","10.1","5.3","11.4","5.7","11.2","NYG","Malik","Nabers","WR","11632","WR6","","","","","","","","","","","",""
"August 4, 2025","10.7","21.4","9.4","33.7","49.6","34.2","29.3","BAL","Derrick","Henry","RB","3198","RB4","","","","","","","","","","","",""
"August 4, 2025","11.1","13","11.3","7.7","13.3","7.6","11.6","LV","Ashton","Jeanty","RB","12527","RB5","","","","","","","","","","","",""
"August 4, 2025","11.4","22.7","11.7","15.5","20.3","15.1","20","HOU","Nico","Collins","WR","7569","WR7","","","","","","","","","","","",""
"August 4, 2025","13.8","17.3","13.5","32","45.1","32.9","25.2","SF","Christian","McCaffrey","RB","4034","RB6","","","","","","","","","","","",""
"August 4, 2025","14.5","20.4","14.9","11.6","16","11.1","17.8","JAX","Brian","Thomas","WR","11631","WR8","","","","","","","","","","","",""
"August 4, 2025","15.4","23.1","15.4","17.7","28.8","17.7","19.5","MIA","De'Von","Achane","RB","9226","RB7","","","","","","","","","","","",""
"August 4, 2025","16.1","11.6","16.5","9.4","9.9","8","14.5","LV","Brock","Bowers","TE","11604","TE1","","","","","","","","","","","",""
"August 4, 2025","17.4","27","17.5","23.7","33.1","23.8","29.2","PHI","A.J.","Brown","WR","5859","WR9","","","","","","","","","","","",""
"August 4, 2025","17.6","23.5","17.1","17.1","21.7","17","23.6","ATL","Drake","London","WR","8112","WR10","","","","","","","","","","","",""
"August 4, 2025","19.5","25.3","19.3","21.2","31.4","21","23.6","TB","Bucky","Irving","RB","11584","RB8","","","","","","","","","","","",""
"August 4, 2025","20.5","29.4","20.3","34","47.9","35.7","33.1","GB","Josh","Jacobs","RB","5850","RB9","","","","","","","","","","","",""
"August 4, 2025","21","1.2","21.3","13.4","1.8","13.7","2.4","BUF","Josh","Allen","QB","4984","QB1","","","","","","","","","","","",""
"August 4, 2025","22.6","26.4","23.1","19.5","23.2","19","26.1","LAC","Ladd","McConkey","WR","11635","WR11","","","","","","","","","","","",""
"August 4, 2025","23.1","28.6","22.7","29.3","38","27.5","28.1","IND","Jonathan","Taylor","RB","6813","RB10","","","","","","","","","","","",""
"August 4, 2025","23.4","2.2","25.2","16.8","3.6","16.5","3.6","BAL","Lamar","Jackson","QB","4881","QB2","","","","","","","","","","","",""
"August 4, 2025","25","17.5","23.8","22","19.7","22.4","22.4","ARI","Trey","McBride","TE","8130","TE2","","","","","","","","","","","",""
"August 4, 2025","26.9","34","27.5","25.1","32.6","26.9","35.5","SEA","Jaxon","Smith-Njigba","WR","9488","WR12","","","","","","","","","","","",""
"August 4, 2025","27.7","44.1","29.8","56.3","80.7","57.5","56.9","MIA","Tyreek","Hill","WR","3321","WR13","","","","","","","","","","","",""
"August 4, 2025","28.2","32.8","26.2","31.7","41.7","31.8","34.1","LAR","Kyren","Williams","RB","8150","RB11","","","","","","","","","","","",""
"August 4, 2025","29.2","37.6","28.1","42","53.2","41.8","41.1","CIN","Chase","Brown","RB","9224","RB12","","","","","","","","","","","",""
"August 4, 2025","29.7","41.3","31","37.7","44.4","35.4","40","CIN","Tee","Higgins","WR","6801","WR14","","","","","","","","","","","",""
"August 4, 2025","31.6","4.8","30","14.3","2.7","14.3","4.7","WAS","Jayden","Daniels","QB","11566","QB3","","","","","","","","","","","",""
"August 4, 2025","32.5","35.5","33.5","27.5","34.4","28.2","35.7","NYJ","Garrett","Wilson","WR","8146","WR15","","","","","","","","","","","",""
"August 4, 2025","33","35","32","28.8","35.5","29.4","32.2","NYJ","Breece","Hall","RB","8155","RB13","","","","","","","","","","","",""
"August 4, 2025","34.2","45.8","35.5","44.9","59.1","44.1","47.8","WAS","Terry","McLaurin","WR","5927","WR16","","","","","","","","","","","",""
"August 4, 2025","35.6","41.7","34.4","38.6","52.8","38.6","38.6","BUF","James","Cook","RB","8138","RB14","","","","","","","","","","","",""
"August 4, 2025","35.7","33.1","35","20.1","27.8","20.9","27.4","ARI","Marvin","Harrison","WR","11628","WR17","","","","","","","","","","","",""
"August 4, 2025","37.5","50.1","37.5","68.8","87.2","71.4","67.4","TB","Mike","Evans","WR","2216","WR18","","","","","","","","","","","",""
"August 4, 2025","38.6","38.8","38.3","49.3","61.3","51.3","47.6","SF","George","Kittle","TE","4217","TE3","","","","","","","","","","","",""
"August 4, 2025","39.6","9","40.8","29.3","7.2","29.7","13.7","PHI","Jalen","Hurts","QB","6904","QB4","","","","","","","","","","","",""
"August 4, 2025","40","7.1","43.2","26.1","5.9","25.4","10.8","CIN","Joe","Burrow","QB","6770","QB5","","","","","","","","","","","",""
"August 4, 2025","41.3","49.8","41.5","63.2","83.7","68.1","59.8","NO","Alvin","Kamara","RB","4035","RB15","","","","","","","","","","","",""
"August 4, 2025","41.6","59.2","41.1","77.8","94.3","77.7","80.1","LAR","Davante","Adams","WR","2133","WR19","","","","","","","","","","","",""
"August 4, 2025","43.6","43.6","44.3","41.9","43.5","41","45","KC","Rashee","Rice","WR","10229","WR20","","","","","","","","","","","",""
"August 4, 2025","44.3","39.3","39.8","23.7","26.7","23.7","31.2","LAC","Omarion","Hampton","RB","12507","RB16","","","","","","","","","","","",""
"August 4, 2025","45.9","53.1","45.5","46.7","64.5","46.1","51.6","SEA","Kenneth","Walker","RB","8151","RB17","","","","","","","","","","","",""
"August 4, 2025","46.2","61","47.9","57","71.3","61.7","62.3","CHI","DJ","Moore","WR","4983","WR21","","","","","","","","","","","",""
"August 4, 2025","47.3","55.4","46.7","53","71.6","53.7","55.3","CAR","Chuba","Hubbard","RB","7594","RB18","","","","","","","","","","","",""
"August 4, 2025","47.4","67.1","49.1","58.5","74.5","58.8","64.2","PIT","DK","Metcalf","WR","5846","WR22","","","","","","","","","","","",""
"August 4, 2025","49.5","47.3","52.5","40.8","39.4","40.5","39.3","DET","Sam","LaPorta","TE","10859","TE4","","","","","","","","","","","",""
"August 4, 2025","50","75.2","51.4","80.5","97","82.3","89.2","DEN","Courtland","Sutton","WR","5045","WR23","","","","","","","","","","","",""
"August 4, 2025","51.1","59.2","47.1","59.7","82.2","59.1","61.8","HOU","Joe","Mixon","RB","4018","RB19","","","","","","","","","","","",""
"August 4, 2025","52.9","69.4","50.4","79.6","101.1","81.3","86.2","ARI","James","Conner","RB","4137","RB20","","","","","","","","","","","",""
"August 4, 2025","53","64.6","53.3","45.7","57.7","47.9","53.3","PHI","DeVonta","Smith","WR","7525","WR24","","","","","","","","","","","",""
"August 4, 2025","53.9","74.9","53.3","52.2","65.7","52.8","63.7","BAL","Zay","Flowers","WR","9997","WR25","","","","","","","","","","","",""
"August 4, 2025","55.9","68.3","56.7","47.4","59.4","47.7","58.9","KC","Xavier","Worthy","WR","11624","WR26","","","","","","","","","","","",""
"August 4, 2025","56.7","77","55.4","70","88.6","69","74.1","DET","David","Montgomery","RB","5892","RB21","","","","","","","","","","","",""
"August 4, 2025","57.4","71.6","59.9","65.9","73.5","65.1","68.2","MIN","T.J.","Hockenson","TE","5844","TE5","","","","","","","","","","","",""
"August 4, 2025","58.7","19.6","64.3","51.2","14.8","49.7","21.6","KC","Patrick","Mahomes","QB","4046","QB6","","","","","","","","","","","",""
"August 4, 2025","59.3","79.2","61.4","62.6","79.7","62.6","71.1","DAL","George","Pickens","WR","8137","WR27","","","","","","","","","","","",""
"August 4, 2025","59.7","77.2","58.7","67.2","78","65.8","73.9","DET","Jameson","Williams","WR","8148","WR28","","","","","","","","","","","",""
"August 4, 2025","61.1","65.2","57.6","50.6","62.4","50.8","57.3","DEN","RJ","Harvey","RB","12489","RB22","","","","","","","","","","","",""
"August 4, 2025","62","56.8","60","35.3","37.6","37.4","43","CAR","Tetairoa","McMillan","WR","12526","WR29","","","","","","","","","","","",""
"August 4, 2025","63.2","63.5","65","35.8","35.5","33.4","17.9","JAX","Travis","Hunter","WR","12530","WR30","","","","","","","","","","","",""
"August 4, 2025","64.3","83.7","62.9","73","89.7","73.1","76.4","KC","Isiah","Pacheco","RB","8205","RB23","","","","","","","","","","","",""
"August 4, 2025","65.5","58.9","63.2","39.7","42","39","44.5","NE","TreVeyon","Henderson","RB","12529","RB24","","","","","","","","","","","",""
"August 4, 2025","66","80.1","75.5","104.1","119.5","107.4","101.4","KC","Travis","Kelce","TE","1466","TE6","","","","","","","","","","","",""
"August 4, 2025","67.2","87.5","67.5","71.9","85.4","71.9","85.9","MIA","Jaylen","Waddle","WR","7526","WR31","","","","","","","","","","","",""
"August 4, 2025","68.3","31.1","74.3","94","47.5","97.9","52.3","TB","Baker","Mayfield","QB","4892","QB7","","","","","","","","","","","",""
"August 4, 2025","69.1","89.8","65.4","100.1","121.3","100.4","105","MIN","Aaron","Jones","RB","4199","RB25","","","","","","","","","","","",""
"August 4, 2025","70.8","85.6","69.2","69.6","77.4","63.1","79.9","NO","Chris","Olave","WR","8144","WR32","","","","","","","","","","","",""
"August 4, 2025","71.5","86.4","70.8","64.3","75.5","59.8","75.5","MIN","Jordan","Addison","WR","9756","WR33","","","","","","","","","","","",""
"August 4, 2025","71.6","70.2","68.6","43.6","50","43.2","50.9","CLE","Quinshon","Judkins","RB","12512","RB26","","","","","","","","","","","",""
"August 4, 2025","73","91.1","73.7","75.9","89.9","75.2","93.3","CLE","Jerry","Jeudy","WR","6783","WR34","","","","","","","","","","","",""
"August 4, 2025","74.7","83.2","71.7","82.4","99.6","83.7","87.8","CHI","D'Andre","Swift","RB","6790","RB27","","","","","","","","","","","",""
"August 4, 2025","75.3","95","76.1","110.7","124.9","112.8","124.2","TEN","Calvin","Ridley","WR","4981","WR35","","","","","","","","","","","",""
"August 4, 2025","76.3","29.7","83.6","61.3","23.1","64.5","37.6","DEN","Bo","Nix","QB","11563","QB8","","","","","","","","","","","",""
"August 4, 2025","77","94.2","71.5","95.8","115.1","95.7","107.7","TEN","Tony","Pollard","RB","5967","RB28","","","","","","","","","","","",""
"August 4, 2025","77.6","97.5","77.6","97","111.2","101.1","113.4","TB","Chris","Godwin","WR","4037","WR36","","","","","","","","","","","",""
"August 4, 2025","79.3","92.1","82.6","92.7","100.1","88","94.2","BAL","Mark","Andrews","TE","5012","TE7","","","","","","","","","","","",""
"August 4, 2025","80.5","81","79.2","47.1","56.5","45.6","59.6","CHI","Rome","Odunze","WR","11620","WR37","","","","","","","","","","","",""
"August 4, 2025","81.5","82.8","77.9","55.2","67.3","53.2","66","PIT","Kaleb","Johnson","RB","12504","RB29","","","","","","","","","","","",""
"August 4, 2025","82.8","104.5","83.7","113.6","125.4","116.4","135.8","LV","Jakobi","Meyers","WR","5947","WR38","","","","","","","","","","","",""
"August 4, 2025","83","99.3","80.8","86.1","103.1","85.4","103.6","WAS","Brian","Robinson","RB","8154","RB30","","","","","","","","","","","",""
"August 4, 2025","83.1","116.8","85.3","99.8","112.8","101.5","121.1","BUF","Khalil","Shakir","WR","8134","WR39","","","","","","","","","","","",""
"August 4, 2025","85.2","103.3","81.1","83.5","113.8","80.9","111.7","NYG","Tyrone","Tracy","RB","11655","RB31","","","","","","","","","","","",""
"August 4, 2025","86","110.7","86.5","107.1","131.9","105.3","127.1","WAS","Deebo","Samuel","WR","5872","WR40","","","","","","","","","","","",""
"August 4, 2025","87.8","118.8","89.2","115.8","139.7","118.4","143.2","SEA","Cooper","Kupp","WR","4039","WR41","","","","","","","","","","","",""
"August 4, 2025","88.9","101.6","89.8","133.9","134.2","143.2","137.7","DEN","Evan","Engram","TE","4066","TE8","","","","","","","","","","","",""
"August 4, 2025","89.3","106.8","91.5","122.1","129.3","129.2","136.7","PIT","Jonnu","Smith","TE","4144","TE9","","","","","","","","","","","",""
"August 4, 2025","89.7","123.1","92","127.4","143.2","130.9","155","NE","Stefon","Diggs","WR","2449","WR42","","","","","","","","","","","",""
"August 4, 2025","91.8","53.9","98.7","139.8","65.8","137.5","77.8","DET","Jared","Goff","QB","3163","QB9","","","","","","","","","","","",""
"August 4, 2025","92.5","113.4","87","119","136.9","119.4","131.7","PIT","Jaylen","Warren","RB","8228","RB32","","","","","","","","","","","",""
"August 4, 2025","93.1","101.9","88.5","87.2","110","86.6","98.4","JAX","Travis","Etienne","RB","7543","RB33","","","","","","","","","","","",""
"August 4, 2025","94.9","107.1","95.9","109.5","116.8","111.7","129.5","CLE","David","Njoku","TE","4033","TE10","","","","","","","","","","","",""
"August 4, 2025","95.2","89.7","100.3","53.6","58.4","55.4","65.9","IND","Tyler","Warren","TE","12518","TE11","","","","","","","","","","","",""
