Date,Redraft PPR ADP,Redraft SF ADP,Redraft Half PPR ADP,Dynasty PPR ADP,Dynasty SF ADP,Dynasty Half PPR ADP,IDP ADP,Player Team,Player First Name,Player Last Name,Fantasy Player Position,Player Id,Positional Rank
"August 21, 2024",1.2,2.8,1.5,4.8,15.4,6.5,4.8,SF,Christian,McCaffrey,RB,4034,RB1
"August 21, 2024",2.7,6.1,2.1,9,22,10.2,12.3,MIA,Tyreek,Hill,WR,3321,WR1
"August 21, 2024",3.1,5.1,3.9,2.6,7.3,2.4,5.9,DAL,CeeDee,Lamb,WR,6786,WR2
"August 21, 2024",4.9,9.7,4.3,1.6,5.8,1.7,3.4,MIN,Justin,Jefferson,WR,6794,WR3
"August 21, 2024",5.6,10.5,5.6,3.6,8,3.9,7.8,CIN,Ja'Marr,Chase,WR,7564,WR4
"August 21, 2024",6.5,13.5,6.1,6.7,12.5,4.6,10.8,ATL,Bijan,Robinson,RB,9509,RB2
"August 21, 2024",6.8,11.1,6.2,5.2,10.2,5.9,9.5,DET,Amon-Ra,St. Brown,WR,7547,WR5
"August 21, 2024",8.8,12.3,8.6,7.2,16,7.3,13.6,NYJ,Breece,Hall,RB,8155,RB3
"August 21, 2024",9.1,15.2,9.1,13.5,23.8,13.9,15.4,PHI,A.J.,Brown,WR,5859,WR6
"August 21, 2024",11.7,20.5,13.3,12.3,21,12,19.5,NYJ,Garrett,Wilson,WR,8146,WR7
"August 21, 2024",12.6,22.5,12.1,17.7,34.7,19.5,21.9,PHI,Saquon,Barkley,RB,4866,RB4
"August 21, 2024",12.7,18.8,10.3,10.9,18.6,9.7,15.6,DET,Jahmyr,Gibbs,RB,9221,RB5
"August 21, 2024",13.9,23.9,11.8,14,26.6,14.3,20,IND,Jonathan,Taylor,RB,6813,RB6
"August 21, 2024",15.4,23.1,14,7.9,14.7,7.4,14.2,ARI,Marvin,Harrison,WR,11628,WR8
"August 21, 2024",16.9,28.4,17.8,23.8,38.7,22.8,26.1,LAR,Kyren,Williams,RB,8150,RB7
"August 21, 2024",17.3,17.7,15.9,11.2,20.2,11.3,17.2,LAR,Puka,Nacua,WR,9493,WR9
"August 21, 2024",17.6,33.5,20.7,58.2,73.3,61.2,51.4,LV,Davante,Adams,WR,2133,WR10
"August 21, 2024",18.4,30.7,16.3,15.3,31.6,17.4,23.3,JAX,Travis,Etienne,RB,7543,RB8
"August 21, 2024",19.7,31.6,19.4,24,33.1,23.3,29.2,ATL,Drake,London,WR,8112,WR11
"August 21, 2024",20.5,34.4,18.6,47,69.5,49.9,47.8,BAL,Derrick,Henry,RB,3198,RB9
"August 21, 2024",20.8,27.9,25.6,43.4,50.7,45.4,31.9,KC,Travis,Kelce,TE,1466,TE1
"August 21, 2024",22.2,1.5,20.2,21,2.6,21.7,1.7,BUF,Josh,Allen,QB,4984,QB1
"August 21, 2024",23.4,31.8,22.6,19,30.4,20.5,25.8,NO,Chris,Olave,WR,8144,WR12
"August 21, 2024",24.8,26.6,30,15.1,25.8,15.5,23.6,DET,Sam,LaPorta,TE,10859,TE2
"August 21, 2024",25,44.2,23,26,41.9,25,34.8,MIA,De'Von,Achane,RB,9226,RB10
"August 21, 2024",26.6,35.6,26.4,25,37,26,31.8,SF,Brandon,Aiyuk,WR,6803,WR13
"August 21, 2024",27.5,41.3,24,30.4,53.6,31.8,33,GB,Josh,Jacobs,RB,5850,RB11
"August 21, 2024",27.6,45.6,27.4,31.4,54.9,33,36.2,KC,Isiah,Pacheco,RB,8205,RB12
"August 21, 2024",29.4,42.1,29.9,63.1,76,63.3,61.5,TB,Mike,Evans,WR,2216,WR14
"August 21, 2024",30.7,3.3,32.8,18.5,1.4,18.7,2.5,KC,Patrick,Mahomes,QB,4046,QB2
"August 21, 2024",31.1,53.5,33.5,36.8,46.4,36.8,46.7,HOU,Nico,Collins,WR,7569,WR15
"August 21, 2024",32.2,52.3,34.7,55.3,77.1,62.7,55.8,HOU,Stefon,Diggs,WR,2449,WR16
"August 21, 2024",33.3,55.3,27.4,55.9,67.8,55.3,57.9,SF,Deebo,Samuel,WR,5872,WR17
"August 21, 2024",34.4,7.8,36.3,33.1,6.1,34.1,11.6,BAL,Lamar,Jackson,QB,4881,QB3
"August 21, 2024",34.7,4.4,31.3,28.1,4.2,29.5,7.3,PHI,Jalen,Hurts,QB,6904,QB4
"August 21, 2024",36,46.7,34.9,27.4,36.8,27,35,MIA,Jaylen,Waddle,WR,7526,WR18
"August 21, 2024",37.1,54.7,38.6,39,52.4,39.9,41.1,CHI,DJ,Moore,WR,4983,WR19
"August 21, 2024",38.5,48,37.6,38,55.5,37.3,39.5,TB,Rachaad,White,RB,8136,RB13
"August 21, 2024",39,55.4,39.1,68.4,85,71.2,70.6,LAR,Cooper,Kupp,WR,4039,WR20
"August 21, 2024",40.8,43.7,44.7,31.5,44.7,35.7,37,IND,Michael,Pittman,WR,6819,WR21
"August 21, 2024",41.1,58.8,40.2,39.7,59.1,41.4,53.2,BUF,James,Cook,RB,8138,RB14
"August 21, 2024",41.4,8,46.2,22.5,3.1,23.8,6.8,HOU,C.J.,Stroud,QB,9758,QB5
"August 21, 2024",43.1,59,41.9,41.3,57.9,38.6,50.9,SEA,DK,Metcalf,WR,5846,WR22
"August 21, 2024",44,57.2,42,20.1,27.4,15.9,30.2,NYG,Malik,Nabers,WR,11632,WR23
"August 21, 2024",45.8,47.5,48.3,47.2,58.8,51.4,52.2,BAL,Mark,Andrews,TE,5012,TE3
"August 21, 2024",46,39.4,48.2,37.9,39.6,39.6,38.1,ARI,Trey,McBride,TE,8130,TE4
"August 21, 2024",47.7,63.7,43.2,57.2,79.8,59.1,63.4,HOU,Joe,Mixon,RB,4018,RB15
"August 21, 2024",48,63.6,50.9,63.2,87.7,69.5,71.9,NO,Alvin,Kamara,RB,4035,RB16
"August 21, 2024",48.7,60.6,47.3,29.5,45.1,30.2,47,PHI,DeVonta,Smith,WR,7525,WR24
"August 21, 2024",50.6,62.5,45.1,35.4,51.8,31.1,43.6,SEA,Kenneth,Walker,RB,8151,RB17
"August 21, 2024",51.6,49.8,51.3,44.7,43.6,44.3,44.6,BUF,Dalton,Kincaid,TE,10236,TE5
"August 21, 2024",52.7,70.9,52.7,42.5,55.9,42.1,60.2,BAL,Zay,Flowers,WR,9997,WR25
"August 21, 2024",53.2,69.3,58.9,74.6,82.4,78.5,73.4,SF,George,Kittle,TE,4217,TE6
"August 21, 2024",54,73.4,54.9,46.7,60.4,46.5,66.7,HOU,Tank,Dell,WR,9502,WR26
"August 21, 2024",55.3,61.1,61.3,49.7,49.5,47.5,54.7,ATL,Kyle,Pitts,TE,7553,TE7
"August 21, 2024",56,14.6,53.7,52.7,13,52.3,22.1,IND,Anthony,Richardson,QB,9229,QB6
"August 21, 2024",57,71.3,60.8,60.2,63.7,57.3,63.6,PIT,George,Pickens,WR,8137,WR27
"August 21, 2024",58.8,74.8,55.8,84,106.9,85.6,83.1,MIN,Aaron,Jones,RB,4199,RB18
"August 21, 2024",59.6,66.4,55.2,79.3,98.8,84.5,82.1,CLE,Amari,Cooper,WR,2309,WR28
"August 21, 2024",60.1,71.5,57.3,50.3,62.2,47.5,67.2,CIN,Tee,Higgins,WR,6801,WR29
"August 21, 2024",61.2,15.6,62.3,54.2,9.4,54.3,18,CIN,Joe,Burrow,QB,6770,QB7
"August 21, 2024",62.1,78.6,64.1,53.9,71.6,53.4,69.2,CHI,D'Andre,Swift,RB,6790,RB19
"August 21, 2024",62.5,84.1,59.7,100.8,121.4,101.6,110.4,ARI,James,Conner,RB,4137,RB20
"August 21, 2024",64.3,77.2,65.5,95.4,116.7,102.9,107,CHI,Keenan,Allen,WR,1479,WR30
"August 21, 2024",65.8,82.7,62.8,76.4,97.9,76.1,89.4,DET,David,Montgomery,RB,5892,RB21
"August 21, 2024",66.6,76.1,67.7,87.7,101.6,89.9,99.2,JAX,Christian,Kirk,WR,4950,WR31
"August 21, 2024",67.6,68.2,71.6,92.1,94.6,95.3,84.4,JAX,Evan,Engram,TE,4066,TE8
"August 21, 2024",68.7,81.1,68,82.6,92.2,83.2,91.6,WAS,Terry,McLaurin,WR,5927,WR32
"August 21, 2024",69.5,79.6,66.1,67.6,86.5,65,79,NE,Rhamondre,Stevenson,RB,7611,RB22
"August 21, 2024",69.7,95.5,81.7,66.3,78.8,68.9,87,KC,Rashee,Rice,WR,10229,WR33
"August 21, 2024",71.2,19.1,76.6,103.8,35,106.6,45.4,DAL,Dak,Prescott,QB,3294,QB8
"August 21, 2024",72.6,91.6,72.8,34.7,39.9,28.5,55.7,CHI,Rome,Odunze,WR,11620,WR34
"August 21, 2024",73.6,90.1,69.3,81.3,102.7,79.2,86.8,PIT,Najee,Harris,RB,7528,RB23
"August 21, 2024",74.6,87.5,74.1,73.7,81.7,75.5,90.6,GB,Jayden,Reed,WR,10222,WR35
"August 21, 2024",75,89.3,79.3,95.7,107.2,97.1,113,TB,Chris,Godwin,WR,4037,WR36
"August 21, 2024",76.7,95.7,76.3,59.1,65.3,55.5,74.8,KC,Xavier,Worthy,WR,11624,WR37
"August 21, 2024",76.9,102.6,78.5,79.5,103.1,79.8,103.5,TEN,Tony,Pollard,RB,5967,RB24
"August 21, 2024",78.1,21.4,69.9,90.7,23.7,87.2,39.2,ARI,Kyler,Murray,QB,5849,QB9
"August 21, 2024",79.8,83.1,83.2,45.2,47,43.3,59.9,LV,Brock,Bowers,TE,11604,TE9
"August 21, 2024",80.4,25.6,82.5,65.3,17.3,70.2,27.4,GB,Jordan,Love,QB,6804,QB10
"August 21, 2024",81.9,103.6,75.6,116.9,142.4,116.9,139.5,MIA,Raheem,Mostert,RB,2749,RB25
"August 21, 2024",82.2,93.9,73.8,83,95.1,81.2,101,LV,Zamir,White,RB,8139,RB26
"August 21, 2024",83.4,94.8,80.2,98.8,110.6,100.5,119.1,TEN,Calvin,Ridley,WR,4981,WR38
"August 21, 2024",84,87.4,87.6,89.1,91.5,90.7,97.3,CLE,David,Njoku,TE,4033,TE10
"August 21, 2024",85.1,99.7,83.5,61.2,68.1,60.8,79.5,MIN,Jordan,Addison,WR,9756,WR39
"August 21, 2024",86.6,85,85.5,85.1,88,87.1,94.3,DAL,Jake,Ferguson,TE,8110,TE11
"August 21, 2024",87,107.8,86.7,91,119.6,92.6,112,CLE,Nick,Chubb,RB,4988,RB27
"August 21, 2024",88.3,97.5,88,70,71.3,66.1,92.7,LAC,Ladd,McConkey,WR,11635,WR40
"August 21, 2024",89.8,92.7,92.1,105,111.6,107.4,115.1,KC,Hollywood,Brown,WR,5848,WR41
"August 21, 2024",90.2,29.8,97.5,97.1,31,103.1,49,SF,Brock,Purdy,QB,8183,QB11
"August 21, 2024",90.2,109.5,90.4,75.8,93.7,74.3,105.6,DEN,Javonte,Williams,RB,7588,RB28
"August 21, 2024",92.8,111.3,89,109.6,125.3,108.4,130.3,CIN,Zack,Moss,RB,6845,RB29
"August 21, 2024",93.8,113.6,95.5,108.8,134.3,110.4,127.8,WAS,Austin,Ekeler,RB,4663,RB30
"August 21, 2024",94.1,111.5,97.6,71,80,67.8,95.7,BUF,Keon,Coleman,WR,11637,WR42
"August 21, 2024",95,103.9,94.7,111.2,119.3,111.1,135.8,CAR,Diontae,Johnson,WR,5937,WR43
"August 21, 2024",96.9,114.5,101.6,126.5,148,135.5,151.5,TEN,DeAndre,Hopkins,WR,1426,WR44
"August 21, 2024",97.1,98.9,90,62.9,66.6,58.5,78.4,CAR,Jonathon,Brooks,RB,11583,RB31
